title,imdbRating,ratingCount,duration,nrOfWins,nrOfNominations,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
Dein Schicksal in meiner Hand (1957),8.2,15654,5760,2,2,170,104,2
Gilda (1946),7.8,15960,6600,1,0,61,134,3
Hannah und ihre Schwestern (1986),8,41610,6180,26,20,369,156,2
Siskel & Ebert & the Movies Men in Black/Wild America/Out to Sea (TV Episode 1997),,,1800,0,0,0,0,1
Der Tiger von New York (1955),6.8,12163,4020,1,0,25,92,3
Sabrina (1954),7.8,33551,6780,6,7,2,133,3
Im Schatten des Zweifels (1943),8,37111,6480,1,2,209,211,1
Ich beichte (1953),7.3,11279,5700,0,0,22,90,2
Die Narbenhand (1942),7.6,4787,4860,0,0,11,64,3
Unter Geheimbefehl (1950),7.3,4124,5760,2,3,29,69,3
Rififi (1955),8.2,14719,7320,5,1,35,94,3
Die Ratte von Soho (1950),8,6194,6060,0,0,23,68,3
Gangster in Key Largo (1948),7.9,23298,6000,0,1,58,134,3
Verbrechen und andere Kleinigkeiten (1989),8.1,34554,6240,13,17,123,151,2
Denen ist nichts heilig (1937),7.6,3754,4620,0,0,19,62,3
His Girl Friday - Sein Mädchen für besondere Fälle (1940),8.1,34101,5520,1,0,155,208,3
Who Do You Think You're Fooling? (1994),5.3,189,660,0,0,0,6,3
Glaubensfrage (2008),7.5,80912,6240,19,44,1192,302,2
Das weiße Band - Eine deutsche Kindergeschichte (2009),7.8,41551,8640,50,25,993,177,2
Alles über Elly (2009),8.2,14680,7140,13,8,15,29,2
Das Zimmer meines Sohnes (2001),7.4,12459,5940,11,25,33,82,1
Frühstück bei Tiffany (1961),7.8,90979,6900,13,8,410,315,3
Spider (2002),6.9,25733,5880,12,22,172,205,1
Shock Corridor (1963),7.6,6164,6060,2,0,84,51,2
Die mit der Liebe spielen (1960),7.9,13291,8580,5,6,48,87,2
So viele Jahre liebe ich dich (2008),7.6,15364,7020,14,19,145,113,1
Eva mit 3 Gesichtern (1957),7.3,4253,5460,2,1,22,45,2
