title,imdbRating,ratingCount,duration,nrOfWins,nrOfNominations,nrOfNewsArticles,nrOfUserReviews,nrOfGenre
Der Mann ohne Gnade - Death Wish II (1982),5.9,8312,5280,0,0,44,106,3
Diva (1981),7.4,7550,7020,9,6,13,78,1
Das Duell (1981),7.6,323,,0,0,0,2,1
Die Frau nebenan (1981),7.4,4207,6360,1,4,4,15,2
Freitag\,http://www.imdb.com/title/tt0082418/,6,29880,video.movie,0,20,170,367
Die große Muppet Party (1981),7.3,7890,5700,0,1,141,40,3
Ab in die Ewigkeit (1981),6,4255,6600,0,0,116,107,3
Heavy Metal (1981),6.7,19294,5160,3,1,503,140,3
Die Legende vom einsamen Ranger (1981),5,1262,5880,3,2,31,38,3
Die Rache der Kannibalen (1981),5.2,5696,5580,0,0,57,135,2
Hollywood Party (1934),6.3,473,4080,0,0,0,22,2
Die tolldreisten Streiche des Marchese del Grillo (1981),7.7,1471,8100,8,2,0,3,1
Mil gritos tiene la noche (1982),6,3616,5100,0,0,39,138,3
Modern Romance - Muß denn Liebe Alptraum Sein? (1981),6.9,1604,5580,0,0,20,22,2
Meine liebe Rabenmutter (1981),6.6,8544,7740,8,7,205,149,2
Mein Essen mit André (1981),7.7,8317,6600,2,0,165,108,2
Die verrückten Nachbarn (1981),5.5,5160,5640,0,0,20,75,1
Imitation of Life (1934),7.6,2181,6660,1,0,8,54,2
Eine Faust geht nach Westen (1981),6.6,1455,5400,1,0,0,7,2
Patrimonio nacional (1981),7,288,6720,2,1,0,1,1
Tanz in den Wolken (1981),6.5,3734,6480,6,3,61,53,3
Polyester (1981),7,4241,5160,0,0,50,39,1
An der Nordbrücke (1981),7.3,359,7740,0,0,0,3,3
Possession (1981),7.3,8881,7620,5,2,73,105,2
Prince of the City - Die Herren der Stadt (1981),7.6,4006,10020,11,6,69,48,3
Das Haus an der Friedhofsmauer (1981),6.3,7265,5220,0,0,51,146,1
Reds - Ein Mann kämpft für Gerechtigkeit (1981),7.5,13904,11700,32,21,149,120,3
S.O.B. - Hollywoods letzter Heuler (1981),6.4,3616,7320,1,3,42,50,1
Sharky und seine Profis (1981),6.3,3056,7320,0,0,2,56,3
Shock Treatment (1981),5.8,3034,5640,0,0,28,103,2
Ich glaub' mich knutscht ein Elch! (1981),6.9,36853,6360,0,0,267,121,2
Was macht der Tote auf der Wäscheleine? (1981),5.7,2827,5160,0,0,0,96,2
The Territory (1981),6.6,93,6240,0,0,0,1,2
Der Einzelgänger (1981),7.4,10733,7320,0,0,140,96,3
Fesseln der Macht (1981),6.4,4530,6480,3,1,32,56,2
Geheimauftrag Hollywood (1981),5.3,1824,5880,0,0,20,32,1
Victor Sjöström: Ett porträtt (1981),7,37,3900,0,0,0,2,2
The Three Godfathers (1916),7.2,10,,0,0,0,0,1
Flucht oder Sieg (1981),6.6,16695,6960,0,0,75,88,3
Wie de Waarheid Zegt Moet Dood (1981),7.1,126,3600,0,0,0,3,2
Cagney & Lacey (TV Series 1981–1988),6.7,1481,3600,35,56,0,13,3
Cheers (TV Series 1982–1993),7.9,26054,5880,71,175,1063,97,2
Der Missionar (1982),6.2,1462,5400,0,0,5,20,1
Der vermißte Spähtrupp (1934),7,1786,4380,1,0,5,42,2
The Powers of Matthew Star (TV Series 1982–1983),6.7,162,3600,0,0,0,14,2
Scooby-Doo and Scrappy-Doo (TV Series 1979–1983),6,947,1800,0,0,0,19,3
Silver Spoons (TV Series 1982–1987),6,1678,1800,4,10,91,10,2
T.J. Hooker (TV Series 1982–1986),5.9,1613,3600,0,0,77,15,3
Die unglaubliche Reise in einem verrückten Raumschiff (1982),6,27927,5100,0,0,21,115,2
Meine Freunde (1982),7.7,1519,7800,0,0,0,4,2
Der Android (1982),5.9,1669,4800,0,0,27,30,1
Annie (1982),6.4,22595,7560,2,10,280,107,3
Die grünen Teufel vom Mekong (1982),5.5,1402,5580,0,0,3,9,3
American Playhouse Die Ballade von Gregorio Cortez (TV Episode 1982),6.8,276,6240,0,0,0,4,2
Basket Case - Der unheimliche Zwilling (1982),6.1,9445,5460,0,0,206,118,2
Zwei dicke Freunde (1982),5.3,1606,6960,0,1,414,15,3
Das schönste Freudenhaus in Texas (1982),5.7,6681,6840,0,2,78,41,2
Der Bomber (1982),6.2,1782,6060,0,0,0,6,3
Die Männer von Aran (1934),7.6,1146,4560,3,0,14,19,1
Die Last der Träume (1982),8,3142,5700,1,1,58,19,1
Bud\,http://www.imdb.com/title/tt0083715/,5.7,814,video.movie,0,6,3,2
Katzenmenschen (1982),6,11890,7080,0,1,131,101,3
Chambre 666 (TV Movie 1982),6.4,627,2700,0,0,0,4,1
Chispita y sus gorilas (1982),4.4,21,4800,0,0,0,0,2
Nur keine Panik (1982),7.4,302,5220,0,0,0,0,2
Tote tragen keine Karos (1982),6.8,14682,5280,0,0,36,102,3
Dear Mr. Wonderful (1982),5.4,142,6960,1,0,0,5,3
Das Mörderspiel (1982),7,7428,6960,0,0,26,47,3
Desh Premee (1982),6.1,250,,0,0,0,3,2
American Diner (1982),7.2,12880,6600,6,2,167,85,2
Men in Black (1934),7.6,738,1140,0,0,55,24,2
Und wieder ist Freitag der 13 (1982),5.6,24377,5700,0,0,128,353,2
The Great Cognito (1982),6.4,173,240,0,0,0,2,2
Der Geisterflieger (1982),5.4,1331,6600,0,0,25,21,3
Labyrinth der Leidenschaften (1982),6.4,2268,6000,0,0,10,8,2
Der verhängnisvolle Brief (TV Movie 1982),6.7,47,5760,3,2,0,3,1
Macbeth (TV Movie 1983),6.7,194,8880,0,0,5,14,1
Snowy River (1982),7.2,5054,6120,2,2,16,52,3
Vermisst (1982),7.8,10891,7320,10,16,5,83,3
Die Legion der Verdammten (1982),7.4,524,13200,2,5,0,7,1
Ein Draufgänger in New York (1982),7.4,6258,5520,5,4,98,73,1
Ein Offizier und Gentleman (1982),6.9,32347,7440,7,13,146,114,2
Passion (1982),6.5,1372,5280,1,4,18,19,2
Die Hunde sind los (1982),7.9,3150,6180,0,0,15,66,3
Porky's (1982),6.1,27414,5640,1,1,49,139,1
Der Zufall - möglicherweise (1987),8,3476,6840,2,0,0,23,1
Da graust sich ja der Weihnachtsmann (1982),7.7,4635,5280,0,0,0,18,1
Die Wiederkehr des Martin Guerre (1982),7.4,2854,7320,7,2,2,27,3
Sans Soleil - Unsichtbare Sonne (1983),8.1,4902,6000,2,0,47,29,1
The Snowman (1982),8.2,7118,1560,2,1,38,75,3
Sophies Entscheidung (1982),7.7,23068,9000,12,11,291,129,2
Stacy's Knights (1983),4.6,250,6000,0,0,7,4,1
Das Ding aus dem Sumpf (1982),5.4,7562,5460,0,0,788,66,2
Of Human Bondage (1934),7.3,3607,4980,0,0,38,75,2
Tenebre - Der kalte Hauch des Todes (1982),7.2,11646,6600,0,0,94,137,3
Time Walker (1982),2.8,886,4980,0,0,3,40,2
Der Spielgefährte (1982),5.7,7561,6120,1,0,14,32,1
Der rosarote Panther wird gejagt (1982),4.9,6168,5760,0,0,10,58,2
Victor/Victoria (1982),7.5,13058,7920,12,13,34,96,3
Vincent (1982),8.5,15914,360,1,0,0,75,3
Cleopatra (1917),5.9,233,7500,0,0,0,2,3
Operator 13 (1934),8.2,923,5100,0,0,0,13,3
Die weiße Bestie (1982),7.2,4511,5400,0,0,42,88,3
Küss mich\,http://www.imdb.com/title/tt0084938/,5.1,2217,video.movie,0,5,3,20
Das A-Team (TV Series 1983–1987),7.6,19743,3600,2,1,507,96,3
Alvin & the Chipmunks (TV Series 1983–1990),6.9,1645,1800,0,0,17,18,3
Automan (TV Series 1983–1984),6.9,674,4200,0,0,2,19,3
The Black Adder (TV Series 1983),8.3,18998,2100,0,0,26,55,2
Hardcastle & McCormick (TV Series 1983–1986),6.5,839,3600,0,0,8,12,3
Inspektor Gadget (TV Series 1983–1986),6.8,7286,1800,0,0,8,32,3
Terrahawks (TV Series 1983–1986),7.6,277,1380,0,0,7,11,2
Webster (TV Series 1983–1989),5.4,912,1800,2,9,55,2,2
2019 - Dopo la caduta di New York (1983),5.6,1569,5760,0,0,7,30,3
Der Superfighter (1983),7.5,8277,6360,1,3,27,57,2
Die große Zarin (1934),7.8,3572,6240,1,0,25,31,3
Ator - Herr des Feuers (1982),2.8,1080,5880,0,0,0,33,3
Bianca (1984),7.5,1546,5760,0,0,0,5,2
Der schwarze Hengst kehrt zurück (1983),5.9,1271,6180,0,0,0,12,2
Class - Vom Klassenzimmer zur Klassefrau (1983),5.8,6235,5880,0,0,47,31,3
Tarzans Vergeltung (1934),7.7,3343,5220,1,0,13,46,2
Cujo (1983),5.9,20151,5580,1,3,171,126,2
Dead Zone - Der Attentäter (1983),7.3,35314,6180,7,4,230,168,3
Das Bombengeschäft (1983),4.4,2680,5940,0,0,2,26,2
Das Kloster zum heiligen Wahnsinn (1983),6.6,3744,6840,1,1,9,18,2
Faces of Death II (1981),3.1,1241,5100,0,0,0,12,2
Flashdance (1983),6,27260,5700,10,14,269,117,3
Zwei bärenstarke Typen (1983),7.1,4364,6420,0,0,251,16,3
Going Back (1984),7.2,97,4740,0,0,2,4,2
Hercules (1983),3.5,1990,5880,2,3,0,35,2
Höllenjagd bis ans Ende der Welt (1983),5.9,3281,6300,0,0,6,54,3
The House on Sorority Row (1983),6,2641,5460,0,0,36,67,3
Liquid Sky (1982),6.1,3398,6720,7,0,18,69,2
Der Außenseiter (1983),6.2,1315,6000,0,0,0,7,3
James Bond 007 - Sag niemals nie (1983),6.2,39897,8040,1,2,233,195,3
Das Osterman-Weekend (1983),5.9,5449,6180,2,0,79,51,3
Papy fait de la résistance (1983),6.8,1496,6120,0,0,0,7,3
The Pirates of Penzance (1983),7.2,2203,6720,0,1,31,50,3
Psycho II (1983),6.4,14132,6780,0,0,106,168,3
Lockere Geschäfte (1983),6.8,48852,5940,0,2,821,145,3
Lustige Burschen (1934),7.2,448,5760,0,0,4,6,2
Seeing Red (1983),7.8,78,6000,0,1,0,3,2
Das ausgekochte Schlitzohr 3 (1983),3.2,5429,5100,0,0,0,64,2
Der rasende Gockel (1983),4.5,2125,5760,1,4,13,16,3
Superman III - Der stählerne Blitz (1983),4.9,38733,7500,1,5,195,206,3
Comeback der Liebe (1983),7.5,6058,5520,10,10,144,63,2
Die tausendjährige Biene (1983),7.9,372,9720,1,1,0,2,3
Unheimliche Schattenlichter (1983),6.5,21518,6060,3,6,201,115,3
Die Heilquelle (1917),7.3,1740,1440,0,0,0,18,2
Die verwegenen Sieben (1983),6.3,5836,6300,0,0,30,41,3
Valley Girl - Das Mädchen und der heiße Typ (1983),6.3,8591,5940,0,0,151,72,2
Der vierte Mann (1983),7.3,4503,6120,4,2,23,43,3
Auf Liebe und Tod (1983),7.3,3322,6600,0,2,3,19,3
Diebe der Nacht (1984),6.6,78,5880,0,0,0,1,3
Xtro - Nicht alle Außerirdischen sind freundlich (1983),5.4,2967,4860,1,0,10,69,2
Kapitän Dotterbart (1983),6.1,5157,5760,0,0,6,66,3
Black Fury (1935),6.7,435,5640,0,1,0,13,3
Yentl (1983),6.6,8120,7920,5,14,82,61,3
'Allo 'Allo! (TV Series 1982–1992),8.4,13058,2700,1,5,0,38,2
Charles in Charge (TV Series 1984–1990),6.1,2756,1800,2,13,80,28,2
Finder of Lost Loves (TV Series 1984–1985),6.4,52,3600,0,0,0,5,1
G.I. Joe (TV Series 1985–1986),7.8,2636,1800,0,0,199,21,3
Kate & Allie (TV Series 1984–1989),7,875,1800,5,25,0,10,1
Mord ist ihr Hobby (TV Series 1984– ),6.8,9438,5580,25,54,17,51,3
The New Scooby-Doo Mysteries (TV Series 1984–1985),7.2,1129,1800,0,0,0,7,3
Punky Brewster (TV Series 1984–1988),6.4,2372,1800,2,13,124,25,2
Trio mit vier Fäusten (TV Series 1984–1986),6.7,999,3600,0,0,11,12,3
Robin of Sherwood (TV Series 1984–1986),8.4,2511,3600,2,9,26,43,3
Super Password (TV Series 1984–1989),7.8,82,1800,0,0,0,5,2
Transformers (TV Series 1984–1987),8,12827,1800,0,0,135,53,3
V - Die außerirdischen Besucher kommen (TV Series 1984–1985),7.2,5039,3600,1,1,0,30,3
Wer ist hier der Boß? (TV Series 1984–1992),6.5,4783,1800,16,30,6,27,3
The Adventures of André and Wally B. (1984),5.4,2777,120,1,0,2,9,3
Buckaroo Banzai - Die 8. Dimension (1984),6.4,15535,6180,0,0,61,208,3
Theater der Liebe (1984),7.1,278,7500,0,0,0,3,3
Beverly Hills Cop - Ich lös' den Fall auf jeden Fall (1984),7.3,99009,6300,3,4,1058,158,3
Ceiling Zero (1936),7,442,5700,1,0,0,5,3
Blame It on the Night (1984),5,122,5100,0,0,0,2,3
Der Tod kommt zweimal (1984),6.7,16136,6840,2,1,105,161,3
Die Bounty (1984),7,14881,6480,0,0,44,86,3
C.H.U.D. - Panik in Manhattan (1984),5.4,6343,5280,1,1,20,81,2
Auf dem Highway ist wieder die Hölle los (1984),4.7,9935,6480,1,8,15,53,2
Carmen (1984),7.5,933,9120,10,10,44,17,2
Abenteuer im gelben Meer (1935),7,1291,5220,0,0,6,25,3
City Heat - Der Bulle und der Schnüffler (1984),5.4,5815,5580,0,0,19,41,3
Fellinis Schiff der Träume (1983),7.7,3477,7920,11,1,5,25,3
Der Liebe verfallen (1984),6.4,7598,6360,2,1,218,51,2
Lockenköpfchen (1935),6.9,890,4500,0,0,36,13,3
Footloose (1984),6.4,39147,6420,1,4,861,104,3
Spuren eines Verbrechens (1984),6.9,5923,6240,12,3,9,40,3
Godzilla - Die Rückkehr des Monsters (1984),6.1,3450,4920,2,2,18,54,3
Gremlins - Kleine Monster (1984),7.2,105442,6360,7,6,1025,223,2
Greystoke - Die Legende von Tarzan\,http://www.imdb.com/title/tt0087365/,6.3,12986,video.movie,4,24,0,68
Hum Dono (1985),6.6,32,,0,0,0,1,3
Die Eispiraten (1984),5.6,6594,5460,0,0,12,51,3
Iceman - Der Mann der aus dem Eis kam (1984),6.1,3549,6000,0,0,5,25,2
David Copperfield (1935),7.6,2342,7440,1,1,5,38,3
Johnny G. - Gangster wider Willen (1984),6.4,9160,5400,0,0,23,55,2
Kaos (1984),7.9,1443,11280,4,6,6,15,3
Der Powerman (1984),7.3,6128,6480,0,0,0,35,3
Dr. Socrates (1935),6.6,192,4200,0,0,0,9,3
Der Kurschatten (1985),8.3,1284,6420,0,0,0,1,2
Der Komet (1984),6.4,10363,5700,0,0,123,150,3
Nightmare - Mörderische Träume (1984),7.5,113699,5460,2,3,2324,614,1
Non ci resta che piangere (1984),7.9,2888,6780,0,0,0,10,2
First a Girl (1935),7.1,265,5640,0,0,0,12,2
Das Philadelphia Experiment (1984),6.1,9038,6120,1,1,25,50,3
Ein Platz im Herzen (1984),7.4,6121,6660,13,11,69,43,1
Repo Man (1984),6.9,21061,5520,3,2,263,142,3
Menschen am Fluß (1984),6.3,4088,7320,2,2,21,8,1
Leichte Straße (1917),7.7,2488,1440,0,0,4,21,2
Die Frau auf Seite 1 (1935),7.2,714,4920,0,0,0,11,2
Sex Mission (1984),7.9,6494,7200,2,2,0,28,3
Stille Nacht - Horror Nacht (1984),5.9,6612,4740,0,0,0,169,2
Das darf man nur als Erwachsener (1984),7.2,55993,5580,2,1,526,150,2
Der gnadenlose Schatten (1983),4.7,226,5340,1,1,0,5,2
Star Trek III: Auf der Suche nach Mr. Spock (1984),6.6,48205,6300,0,0,106,168,3
Stop Making Sense (1984),8.4,6951,5280,3,0,75,61,2
Straßen in Flammen (1984),6.7,10091,5580,2,1,122,140,3
Thriller (TV Short 1983),8.5,9173,780,2,0,0,46,3
Top Secret (1984),7.2,38379,5400,0,0,0,154,1
Urusei Yatsura 2: Byûtifuru dorîmâ (1984),7.8,1012,5880,0,0,0,9,3
Die Frau in Rot (1984),5.8,8151,5220,1,1,23,39,2
Womit habe ich das verdient? (1984),7.2,5382,6060,5,1,0,25,2
Adventures in Wonderland (TV Series 1992–1994),8,358,1800,8,14,78,7,3
The Bugs Bunny/Looney Tunes Comedy Hour (TV Series 1985– ),8.5,7630,2700,0,0,0,3,3
Dragon Ball: Doragon bôru (TV Series 1986–1989),8.7,15741,1500,0,0,0,19,3
Freunde im All (TV Series 1985–1986),6.2,688,1440,0,0,34,6,3
EastEnders (TV Series 1985– ),5.3,4515,1800,160,231,5520,90,1
Golden Girls (TV Series 1985–1992),7.7,17285,1800,35,86,472,132,2
Unser lautes Heim (TV Series 1985–1992),6.6,7910,1800,16,16,627,37,2
Die Gummibärenbande (TV Series 1985–1991),7.8,3625,1800,0,0,6,23,3
Larry King Live (TV Series 1985– ),5.6,744,3600,11,6,747,9,2
Lindenstraße (TV Series 1985– ),5.1,488,1740,5,2,0,0,1
MASK - Die Masken (TV Series 1985– ),7.2,1749,1320,0,0,0,21,3
Mr. Belvedere (TV Series 1985–1990),6.6,1718,1800,1,12,28,7,2
Street Hawk (TV Series 1985– ),7,1204,3600,0,0,15,16,3
Thundercats (TV Series 1985–1989),7.9,9348,1800,0,0,38,38,3
Unbekannte Dimensionen (TV Series 1985–1989),7.8,4071,2700,2,9,186,24,3
Khoon Ka Khoon (1935),5.3,6,7320,0,0,0,0,1
Die Zeit nach Mitternacht (1985),7.7,31116,5820,4,7,43,171,3
Amici miei - Atto III° (1985),6.2,779,6600,1,0,0,0,1
Anne auf Green Gables (TV Movie 1985),8.4,11244,11940,11,6,67,73,2
Before Stonewall (1984),7.5,429,5220,3,1,3,5,2
Lanny dreht auf (1985),7.3,28443,5820,0,0,106,171,2
Mad Love (1935),7.4,2494,4080,0,0,30,72,3
KatzenAuge (1985),6.2,13817,5640,0,0,51,75,3
A Chorus Line (1985),6,6564,6780,0,5,252,81,3
Christopher Columbus (TV Mini-Series 1985),7.7,416,21600,0,0,0,7,3
Ciuleandra (1985),7.9,326,,0,0,0,3,0
Cocoon (1985),6.6,37635,7020,3,11,162,75,3
Die Farbe Lila (1985),7.8,50925,9240,14,9,730,182,1
Der Läufer (1990),8,719,5640,1,0,0,6,1
Zombie 2 - Das letzte Kapitel (1985),7.2,40676,5760,2,0,841,401,1
Death Wish 3 - Die Rächer von New York (1985),5.8,8274,5520,0,0,45,148,3
Dance of the Demons (1985),6.6,11995,5280,0,0,213,163,1
Detective (1985),6.2,998,5700,2,1,5,15,3
Friday the 13th: A New Beginning (1985),4.5,17501,5520,0,0,77,325,3
Die rabenschwarze Nacht (1985),7.1,32957,6360,5,4,1107,255,2
Lipstick & Ice Cream (1985),5.9,6531,5400,0,0,119,54,3
Zurück aus der Vergangenheit (1985),6.2,2355,5400,1,0,3,23,3
Die neuen Abenteuer des Herkules (1985),3.8,501,5280,0,0,0,15,2
Der 4 1/2 Billionen Dollar Vertrag (1985),5.8,1640,6720,0,0,0,22,3
Police Story (1985),7.6,14998,6060,2,5,148,76,3
Quatermain - Auf der Suche nach dem Schatz der Könige (1985),5.1,8156,6000,0,0,26,66,3
Der Verrückte mit dem Geigenkasten (1985),5.6,9633,5520,0,0,9,42,2
Die Maske (1985),7.2,17586,7200,2,6,81,87,2
Mein Leben als Hund (1985),7.8,12406,6060,15,2,67,55,2
My Science Project (1985),5.9,3197,5640,0,0,12,21,3
Hilfe\,http://www.imdb.com/title/tt0089670/,6,31006,video.movie,1,35,0,94
Karate Tiger - Der letzte Kampf (1986),5.5,9196,5100,0,0,0,93,3
Novembermond (1985),5.9,147,6000,0,0,0,1,3
Oberst Redl (1985),7.6,1628,8640,5,2,5,15,3
Otaku no video (Video 1991),7.3,314,3000,0,0,0,7,3
Page Miss Glory (1935),8.1,873,5580,0,0,0,15,3
Der Panther (1985),5.8,563,5880,0,0,0,1,3
Pee-wees irre Abenteuer (1985),7,35543,5400,1,2,159,174,3
Police Academy 2 - Jetzt geht's erst richtig los (1985),5.5,30351,5220,1,0,13,77,2
Magere Zeiten (1984),6.6,1683,5640,3,3,16,19,1
Die Ehre der Prizzis (1985),6.8,15996,7800,30,19,60,83,3
Rambo II - Der Auftrag (1985),6.3,90877,5760,5,4,133,198,1
Der Re-Animator (1985),7.3,30710,6240,4,2,589,188,2
Was für ein Genie (1985),7,19992,6480,2,2,96,120,3
Verdammt\,http://www.imdb.com/title/tt0089907/,7.3,32628,video.movie,0,18,406,284
Les rois du gag (1985),4.9,457,5880,0,0,0,1,1
Shoah (1985),8,4455,33960,13,0,99,40,3
St. Elmo's Fire - Die Leidenschaft brennt tief (1985),6.3,22280,6600,1,1,134,138,2
Starchaser: The Legend of Orin (1985),6.8,1124,6420,0,0,3,33,3
The Stuff (1985),5.9,6525,5220,0,0,36,96,3
Summer Rental (1985),6.1,8287,5220,0,0,7,37,1
That's Dancing! (1985),6.9,685,6300,0,0,0,13,2
Atomic Hero (1984),6.2,15787,5220,0,0,180,139,3
Kyûketsuki hantâ D (Video 1985),7.1,7085,4800,0,0,34,63,3
Powerman II (1985),6.4,1982,6300,0,0,0,11,2
Im Jahr des Drachen (1985),6.9,8733,8040,1,7,53,60,3
ALF (TV Series 1986–1990),7.3,18771,1800,4,13,81,42,3
Die Plutonium-Affäre (TV Mini-Series 1985),8.5,2475,18420,7,5,150,50,3
Lovejoy (TV Series 1986–1994),8,1463,3000,0,0,76,22,3
Matlock (TV Series 1986–1995),7,3121,3600,5,4,143,26,3
The New Gidget (TV Series 1986–1988),7.8,867,1800,0,0,0,1,1
Ein Grieche erobert Chicago (TV Series 1986–1993),7.2,4843,1800,1,1,45,61,2
Valerie (TV Series 1986–1991),6.5,698,1800,2,13,0,7,2
Betty Blue (1986),7.4,11016,7200,5,10,27,75,2
52 Pick-Up (1986),6.4,2670,6600,0,0,0,39,2
Der Werwolf von London (1935),6.4,2797,4500,0,0,25,69,3
Allah-Rakha (1986),6.2,57,,0,0,0,3,0
Im Augenblick der Angst (1987),6.8,1880,5160,5,2,29,47,2
Die Horror-Party (1986),6.2,8813,5340,0,0,0,116,3
Asterix bei den Briten (1986),7.1,6079,4740,0,0,0,12,3
Mach's nochmal\,http://www.imdb.com/title/tt0090685/,6.5,18257,video.movie,1,20,207,75
Rocket Man - Der Beste aller Zeiten (1986),5.9,4370,6240,0,0,15,34,3
Maxims Jugend (1935),7,123,,1,0,0,1,3
Glücksbärchis Teil 2 - Jetzt im Abenteuerland (1986),5.2,1462,4560,0,0,2,25,3
Die Affäre Aldo Moro (1986),7.1,187,6600,3,3,0,1,3
Critters - Sie sind da! (1986),6,19374,4920,0,0,41,107,3
Crossroads - Pakt mit dem Teufel (1986),7,8743,5940,1,0,13,76,3
Der tödliche Freund (1986),5.4,4022,5460,0,0,30,62,3
Dung fong tuk ying (1987),7.4,1167,5580,0,0,0,22,3
Zoff in Beverly Hills (1986),6.1,11141,6180,2,2,50,41,1
Dr. Otto and the Riddle of the Gloom Beam (1986),6,330,5820,0,0,0,15,1
Fire with Fire - Verbotene Leidenschaft (1986),6.4,1005,6180,0,0,50,24,2
Feuerwalze (1986),4.8,3390,6240,0,0,0,40,3
Freitag\,http://www.imdb.com/title/tt0091080/,5.8,19510,video.movie,0,16,82,285
From Beyond - Aliens des Grauens (1986),6.8,11357,5160,3,3,285,105,2
Die Flüchtigen (1986),7.1,3118,5700,0,0,0,4,2
The Little American (1917),6.9,461,4800,0,0,0,12,3
Sodbrennen (1986),6,5364,6480,1,0,92,38,2
Hitcher\,http://www.imdb.com/title/tt0091209/,7.3,29626,video.movie,3,21,173,222
Rantes - Der Mann\,http://www.imdb.com/title/tt0091214/,7.9,2190,video.movie,13,0,0,35
Hotel St. Pauli (1988),3.7,178,7260,0,0,0,5,1
Zum Tanzen geboren (1936),6.8,705,6360,0,0,2,26,2
Karate Kid II - Entscheidung in Okinawa (1986),5.8,38274,6780,4,2,17,98,3
King Kong lebt (1986),3.6,3296,6300,0,0,9,54,3
Lady Jane - Königin für neun Tage (1986),7.2,4516,8520,0,0,51,46,3
Liebe wie Staub im Wind (1987),7.8,893,6540,1,0,0,6,2
Der rechte Arm der Götter (1986),7,9448,5220,0,0,0,46,3
Lucker (1986),3.9,281,4440,0,0,0,21,2
Rhea M. - Es begann ohne Warnung (1986),5.3,19172,5820,0,0,118,192,3
Murphys Gesetz (1986),5.8,2602,6000,0,0,0,46,2
My Little Pony: The Movie (1986),6,1781,5160,0,0,7,25,3
Der Verrat des Surat Khan (1936),7.2,2798,6900,0,2,18,45,3
Verfolgt und gejagt (TV Movie 1986),6.7,115,6240,0,0,0,2,1
Die Nacht der Creeps (1986),6.8,11077,5280,0,0,218,122,3
Nothing in Common - Sie haben nichts gemeinsam (1986),5.9,4226,7080,0,0,9,28,3
One Crazy Summer (1986),6.4,9336,5580,0,0,44,59,2
Police Academy 3 - ...und keiner kann sie bremsen (1986),5,25659,4980,1,0,4,54,2
Poltergeist II - Die andere Seite (1986),5.6,14715,5460,1,4,69,107,1
Pretty in Pink (1986),6.7,39970,5760,1,0,552,135,3
Das Messer am Ufer (1986),7.1,10034,5940,3,5,29,108,2
Zimmer mit Aussicht (1985),7.5,24137,7020,23,21,127,90,2
Diese Zwei sind nicht zu fassen (1986),6.5,7274,6420,2,0,16,64,3
Die unglaubliche Entführung der verrückten Mrs. Stone (1986),6.8,18839,5580,1,2,52,69,2
Sherman's March (1985),7.5,1550,9420,5,0,13,29,3
Sehnsucht (1936),7.3,1101,5340,0,0,2,18,3
A Smoky Mountain Christmas (TV Movie 1986),7.1,606,5640,0,0,0,24,1
Zurück in die Gegenwart - Star Trek IV (1986),7.3,49707,7140,3,13,112,190,3
Rebellen des Grauens (1986),4.3,391,5460,0,0,0,25,3
Tai-Pan (1986),5.4,1077,7620,0,0,3,19,1
Archie und Harry - Sie können's nicht lassen (1986),6.1,4411,6240,0,0,50,19,1
True Stories (1986),6.9,3142,5400,0,0,173,48,2
Kreuzfeuer der Agenten (1986),6.2,1367,6000,0,0,10,19,1
Zhong guo tie ren (1973),6.9,28,5400,0,0,0,1,2
Draculas Tochter (1936),6.4,3112,4260,0,0,42,75,3
Bionic Six (TV Series 1987– ),7.4,317,1320,0,0,0,8,3
Reich und schön (TV Series 1987– ),3.5,4424,1800,82,261,733,48,2
Full House (TV Series 1987–1995),6.5,30513,1800,16,19,1341,286,3
Eine schrecklich nette Familie (TV Series 1987–1997),8.2,61520,1320,6,21,301,165,1
Kampf gegen die Mafia (TV Series 1987–1990),7.8,1028,3600,3,19,61,14,3
Die besten Jahre (TV Series 1987–1991),7.4,1258,3600,26,63,7,21,2
Ein sonderbarer Fall (1937),7.6,1132,5640,0,0,0,12,1
Das Wunder in der 8. Straße (1987),6.4,18950,6360,2,1,0,50,3
Die Nacht der Abenteuer (1987),6.8,22782,6120,2,6,338,122,3
Amazonen auf dem Mond (1987),6.1,7539,5100,0,0,51,59,2
Babettes Fest (1987),7.9,11423,6120,10,8,31,96,2
High-Life am Strand (1987),5.6,1927,5520,0,0,22,41,2
Bad Taste (1987),6.8,30931,5460,1,1,214,275,3
The Ex-Mrs. Bradford (1936),7,908,4920,0,0,0,20,3
Die Barbaren (1987),4.7,1928,5220,0,0,0,28,2
Bellissimo: Immagini del cinema italiano (1985),6.7,12,6600,0,0,0,1,1
Benji - Sein größtes Abenteuer (1987),6.2,1776,5280,1,1,2,15,2
Der Fahrradfahrer (1987),7.4,952,5700,1,0,0,5,1
Can't Buy Me Love (1987),6.7,17969,5640,1,3,60,64,3
Rebecca of Sunnybrook Farm (1917),7.6,534,4680,0,0,3,7,2
Krieg in Chinatown (1987),6,926,5400,0,0,0,14,3
Alwin und die Weltenbummler (1987),7.3,3630,4620,0,0,8,31,3
Creepshow 2 - Kleine Horrorgeschichten (1987),5.9,12825,5520,0,0,59,109,3
Death Wish 4 - Das Weiße im Auge (1987),5.2,4939,5940,0,0,10,72,3
Schlappe Bullen beißen nicht (1987),5.9,22281,6360,0,0,80,68,2
Eddie Murphy Raw (1987),7.5,12935,5580,0,0,77,51,2
